recommendationid,Polarity,Subjectivity,NLTK_Compound,Sentiment_Label
212487809,-0.2833333333333333,0.30333333333333334,-0.4767,Negative
212486810,0.2530687830687831,0.5061640211640211,0.9881,Positive
212486764,0.2833333333333333,0.45416666666666666,0.6666,Positive
212480139,0.3,0.5,0.6369,Positive
212480050,-0.008716931216931229,0.47693121693121704,0.8024,Positive
212472281,0.25,0.35,0.8718,Positive
212467284,-0.06714285714285712,0.4247619047619048,-0.0387,Neutral
212454975,-0.4,0.4,0.6908,Positive
212448035,0.16323670377241803,0.5422969490826633,-0.4522,Negative
212447583,0.115,0.5583333333333333,0.9552,Positive
212445782,-0.05572916666666666,0.5152777777777778,0.7883,Positive
212444994,0.26249999999999996,0.65,0.8555,Positive
212441736,0.1283743042671614,0.4372990105132962,0.9112,Positive
212438010,0.033333333333333326,0.7166666666666667,-0.2944,Negative
212431341,0.07619047619047618,0.4988095238095238,0.4931,Positive
212430719,0.0,0.0,0.0,Neutral
212430050,0.25,0.875,-0.2944,Negative
212418302,0.043750000000000004,0.35000000000000003,0.5499,Positive
212400579,0.22500000000000003,0.5125,0.8478,Positive
212396486,0.0,0.0,0.5859,Positive
212392908,0.03599508599508601,0.46563121563121573,0.7461,Positive
212391972,0.25,0.3111111111111111,0.6597,Positive
212387119,-0.4,0.4,0.3612,Positive
212384869,0.0,0.0,0.3612,Positive
212384645,0.07857744107744107,0.5393939393939394,0.7069,Positive
212383379,0.10046082949308756,0.550537634408602,0.9744,Positive
212377489,-0.053779461279461274,0.5651178451178451,-0.9857,Negative
212371510,0.16666666666666666,0.3166666666666667,0.8555,Positive
212370215,0.0,0.0,0.0,Neutral
212369906,0.3666666666666667,0.6833333333333332,-0.2739,Negative
212368486,-0.4375,0.5041666666666667,-0.5994,Negative
212368378,0.32499999999999996,0.5,0.4404,Positive
212360134,0.04126984126984126,0.4396825396825396,0.8934,Positive
212357903,-0.02129629629629629,0.4583333333333333,0.8675,Positive
212354324,0.24625850340136052,0.35527210884353744,0.1779,Positive
212351933,0.0,0.0,0.0,Neutral
212351764,-0.225,0.4916666666666667,-0.9224,Negative
212346807,0.0,0.37,0.1511,Positive
212333699,0.5,0.75,0.6486,Positive
212330266,1.0,0.3,0.6369,Positive
212324578,-0.04999999999999999,0.5,0.8748,Positive
212300241,-0.17083333333333336,0.3625,0.6478,Positive
212289763,-0.140625,0.509375,-0.8783,Negative
212288590,0.36999999999999994,0.7933333333333333,0.6183,Positive
212274704,0.036363636363636376,0.4636363636363636,0.3993,Positive
212261013,0.0907142857142857,0.5364285714285714,-0.3167,Negative
212219296,0.17166666666666666,0.565,0.7679,Positive
212207371,-0.26666666666666666,0.4000000000000001,-0.5233,Negative
212199339,0.16666666666666666,0.5333333333333333,-0.3182,Negative
212198892,-0.13541666666666669,0.6354166666666667,0.3004,Positive
212197422,0.1788461538461539,0.5435897435897437,0.373,Positive
212197053,-0.15,0.2,-0.1032,Negative
212192546,0.3,0.7,0.6369,Positive
